#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(sum16)   v(sum17)   v(sum18)   v(sum19)   v(sum20)   v(sum12)   v(sum22)   v(sum23)   v(sum24)   v(sum25)   v(sum26)   v(sum27)   v(sum28)   v(sum29)   v(sum30)   v(sum31)  
 0.        -329.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 200.E-12   1.8       -153.85E-6  1.7997     1.8        1.8001     1.8        1.8001     1.8001     1.8        1.8001     1.8        1.8001     1.8002     1.8001     1.8001     1.8002     1.8001     1.8001     1.8        1.8001     1.8002     1.8002     1.8001     1.8001     1.8001     1.8001     1.8001     1.8001     1.8001     1.8001     1.8002     1.8001     1.8001     1.8001    
 400.E-12   1.8        154.97E-6  1.537      1.8        1.7999     1.8        1.8        1.7999     1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7998     1.8        1.8        1.8        1.7998     1.8        1.7998     1.8        1.7998     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 600.E-12   1.8        164.42E-6 -0.11345    1.7247     1.7999     1.8        1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 800.E-12   1.8        166.67E-6 -0.05709   -0.14909    1.7999     1.8        1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7998     1.8        1.7998     1.8        1.7998     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 1.E-9      1.8        160.31E-6 -0.029622  -0.072509   1.7998     1.8        1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7998     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7998     1.8        1.7999     1.8       
 1.2E-9     1.8        157.38E-6 -0.015598  -0.037085   1.6325     1.8        1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 1.4E-9     1.8        156.39E-6 -0.0082751 -0.019425  -0.13499    1.7999     1.8        1.7999     1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7998     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 1.6E-9     1.8        156.71E-6 -0.0044086 -0.010294  -0.066088   0.28258    1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 1.8E-9     1.8        157.98E-6 -0.002357  -0.0054936 -0.033867   0.10624    1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 2.E-9      1.8        160.91E-6 -0.0012787 -0.0029514 -0.017719   0.051682   1.8004     1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 2.2E-9     1.8        156.5E-6  -794.2E-6  -0.0016076 -0.009357   0.026553   1.8017     1.7053     1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 2.4E-9     1.8        155.94E-6 -517.86E-6 -951.63E-6 -0.0049603  0.013935   0.90494   -0.14711    1.8024     1.7998     1.57       1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 2.6E-9     1.8        158.53E-6 -338.33E-6 -603.18E-6 -0.0026317  0.0073825  0.01172   -0.071705   1.043      1.6054    -0.1251     1.8078     1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
