#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(sum16)   v(sum17)   v(sum18)   v(sum19)   v(sum20)   v(sum12)   v(sum22)   v(sum23)   v(sum24)   v(sum25)   v(sum26)   v(sum27)   v(sum28)   v(sum29)   v(sum30)   v(sum31)  
 0.        -384.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 200.E-12   1.8       -186.E-6    1.8        1.7999     1.8002     1.8001     1.8001     1.8        1.8001     1.8001     1.8001     1.8001     1.8001     1.8        1.8        1.8001     1.8001     1.8        1.8001     1.8001     1.8001     1.8002     1.8001     1.8        1.8001     1.8        1.8001     1.8001     1.8001     1.8        1.8001     1.8        1.8001     1.8       
 400.E-12   1.8        183.57E-6  1.7587     1.8001     1.7999     1.7999     1.8        1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 600.E-12   1.8        148.22E-6 -0.0065316  1.8165     1.7999     1.7998     1.8        1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 800.E-12   1.8       -123.19E-6  128.22E-6 -0.0096663  1.8001     1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8        1.8001     1.8        1.8001    
 1.E-9      1.8        149.98E-6 -57.799E-6  0.0021503  1.7998     1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 1.2E-9     1.8        157.19E-6 -39.459E-6  0.0011431  1.8065     1.7999     1.8        1.7999     1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 1.4E-9     1.8        159.2E-6  -23.502E-6  701.05E-6  0.12801    1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 1.6E-9     1.8        155.16E-6 -11.219E-6  475.07E-6  0.058256   1.6682     1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.7999     1.8       
 1.8E-9     1.8        156.89E-6 -1.6659E-6  334.47E-6  0.029423  -0.14257    1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 2.E-9      1.8        153.75E-6  5.875E-6   245.77E-6  0.015343  -0.069824   1.8        1.7999     1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 2.2E-9     1.8        132.79E-6  11.921E-6  189.18E-6  0.0081114 -0.0358     1.801      1.7996     1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 2.4E-9     1.8        133.44E-6  16.857E-6  152.69E-6  0.0043208 -0.018747   1.6693     1.0037     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 2.6E-9     1.8        140.34E-6  20.861E-6  128.97E-6  0.002317  -0.0099094  0.44773   -0.018826   1.8026     1.7999     1.5607     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
