#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)   
 0.        -78.E-15    10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 250.E-12   1.8        98.648E-6  1.7993     1.7999     1.8        1.8        1.8        1.8        1.7999     1.7998    
 500.E-12   1.8       -58.71E-6   970.27E-6  1.8003     1.8        1.8        1.8        1.8        1.8001     1.8001    
 750.E-12   1.8       -92.299E-6  46.616E-6 -0.046373   1.8        1.8001     1.8        1.8        1.8001     1.8001    
 1.E-9      1.8        69.042E-6 -25.343E-6  0.015049   1.7175     1.7999     1.8        1.8        1.7998     1.8       
 1.25E-9    1.8        81.279E-6 -20.609E-6  0.0092354 -0.073104   1.7996     1.7999     1.8        1.7998     1.7999    
 1.5E-9     1.8        77.596E-6 -14.983E-6  0.0056915 -0.015698   0.075428   1.6973     1.8        1.7999     1.8       
 1.75E-9    1.8        0.78053   -9.946E-6   0.0035175 -0.003648   0.045398  -0.04752    1.7996     1.7997     1.7999    
 2.E-9      1.8        1.8251    -5.5051E-6  0.0021875 -849.08E-6  0.027624  -0.010184   0.41051    0.92316    1.8       
 2.25E-9    1.8        1.8124    -1.6186E-6  0.0013769 -171.14E-6  0.016931  -0.0022901  0.084737  -0.0025033  1.3019    
 2.5E-9     1.8        1.7976    -4.2956E-6 -578.19E-6 -20.49E-6  -0.0049868  68.549E-6 -0.0050882  0.0013634  0.031056  
 2.75E-9    1.4174E-9  1.8       -46.373E-6 -10.809E-6  632.02E-9  33.692E-6  1.6658E-6 -48.466E-6  74.217E-6  40.297E-6 
 3.E-9     -3.027E-9   1.8001    -0.0025402  16.204E-6 -11.157E-6 -55.745E-6 -2.1925E-6 -10.58E-6  -87.163E-6 -84.649E-6 
 3.25E-9    49.14E-12  1.8        1.6606    -0.003572   16.628E-6  79.609E-6  4.7117E-6  15.868E-6  119.65E-6  138.61E-6 
 3.5E-9    -2.8224E-9  1.8001     1.8106     1.7084    -25.606E-6 -85.901E-6 -5.3468E-6 -16.541E-6 -122.5E-6  -151.62E-6 
 3.75E-9    270.3E-12  1.7999     1.7986     1.8086    -0.0017029  79.975E-6  4.5645E-6  13.359E-6  109.09E-6  141.46E-6 
 4.E-9     -1.2924E-9  1.8        1.7994     1.8034     0.72558    84.569E-6  3.2465E-6  17.218E-6  123.77E-6  161.96E-6 
 4.25E-9   -1.365E-9   1.7999     1.7998     1.8015     1.8205    -745.19E-6  102.69E-6  16.612E-6  122.E-6    162.92E-6 
 4.5E-9    -1.5653E-9  1.7999     1.8        1.8007     1.8009     1.3081    -0.0047218  16.313E-6  120.29E-6  163.21E-6 
 4.75E-9   -3.7333E-9  1.4468     1.8        1.8003     1.8003     1.6953     1.217      45.826E-6  141.76E-6  163.32E-6 
 5.E-9      299.2E-12 -0.11271    1.8001     1.8001     1.8001     1.7656     1.797     -0.0034192 -290.24E-6  163.69E-6 
 5.25E-9    1.8        0.016241   1.7996     1.8        1.8        1.8019     1.8003     1.3126     0.0050093 -5.8604E-6 
 5.5E-9     1.8       -51.112E-6  0.01339    1.8026     1.8        1.8        1.8        1.7997     1.7998    -0.0083216 
 5.75E-9    1.8       -94.638E-6  0.0015999 -0.030495   1.8        1.8001     1.8        1.8        1.8        1.8346    
 6.E-9      1.8       -81.466E-6  0.0010456 -0.018295   1.4874     1.8001     1.8        1.8        1.8        1.8125    
 6.25E-9    1.8       -99.216E-6  724.09E-6 -0.011136  -0.11499    1.7999     1.7999     1.8        1.8001     1.8047    
 6.5E-9     1.8       -104.93E-6  518.32E-6 -0.0068324 -0.023986   0.053942   1.674      1.8        1.8001     1.8019    
 6.75E-9    1.8        0.81452    376.02E-6 -0.0042097 -0.0056005  0.03393   -0.063435   1.7997     1.7998     1.8008    
 7.E-9      1.8        1.8161     277.01E-6 -0.0026033 -0.0014009  0.021047  -0.013657   0.36956    0.62941    1.8003    
 7.25E-9    1.8        1.8108     207.38E-6 -0.0016263 -379.54E-6  0.013013  -0.0031293  0.084922   0.052435   1.1331    
 7.5E-9     1.8        1.7976    -104.79E-6  645.74E-6 -33.2E-6   -0.0038523  88.83E-6  -0.0051698 -0.011991   0.018946  
 7.75E-9    1.2354E-9  1.8001    -10.172E-6 -16.016E-6 -686.7E-9  -5.3483E-6  481.83E-9 -41.173E-6 -30.762E-6  130.4E-6  
 8.E-9      600.E-12   1.7999    -0.0023697  17.591E-6  9.4402E-6  54.418E-6  6.7165E-6  26.28E-6   61.93E-6   164.7E-6  
 8.25E-9   -118.6E-12  1.7998     1.5714    -0.0034455  17.541E-6  82.957E-6  11.447E-6  36.388E-6  88.824E-6  153.04E-6 
 8.5E-9    -2.7069E-9  1.8001     1.8164     1.7444    -19.012E-6 -86.918E-6 -8.8757E-6 -30.077E-6 -87.169E-6 -163.22E-6 
 8.75E-9   -3.7193E-9  1.8        1.806      1.7792    -0.0010882 -95.835E-6 -9.901E-6  -32.609E-6 -94.479E-6 -135.34E-6 
 9.E-9     -5.0014E-9  1.8001     1.8024     1.7919     0.70834   -102.84E-6 -11.86E-6  -31.339E-6 -94.578E-6 -149.56E-6 
 9.25E-9   -4.965E-9   1.8001     1.801      1.7966     1.8209    -454.02E-6  78.026E-6 -30.424E-6 -94.583E-6 -157.07E-6 
 9.5E-9    -5.2156E-9  1.8        1.8004     1.7985     1.801      1.2681    -0.0040803 -29.728E-6 -94.587E-6 -163.19E-6 
 9.75E-9   -7.4014E-9  1.4874     1.8001     1.7993     1.8003     1.7019     1.1113    -8.3828E-6 -73.293E-6 -168.33E-6 
 10.E-9    -3.2764E-9 -0.12054    1.8        1.7997     1.8002     1.7685     1.801     -0.0028689 -308.19E-6 -172.83E-6 
 10.25E-9   1.8        0.017228   1.7995     1.8        1.8        1.8015     1.8002     1.2619    -359.99E-6  154.19E-6 
