#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)   
 0.        -78.E-15    10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 100.E-12   1.8        102.93E-6  1.8        1.8        1.8        1.7999     1.8        1.7999     1.8        1.7998    
 200.E-12   1.8        86.788E-6  1.7999     1.7999     1.8        1.7999     1.8        1.7999     1.7999     1.8       
 300.E-12   1.8        67.14E-6   1.8007     1.8001     1.8        1.7999     1.8        1.7999     1.8        1.7999    
 400.E-12   1.8        78.487E-6  1.6486     1.7997     1.8        1.7999     1.8        1.7999     1.7999     1.7999    
 500.E-12   1.8        11.925E-6  526.87E-6  1.8004     1.8001     1.7999     1.8        1.7999     1.7999     1.7999    
 600.E-12   1.8       -53.843E-6  88.58E-6   1.802      1.8        1.8002     1.8        1.8        1.8002     1.8       
 700.E-12   1.8       -59.035E-6  34.662E-6  0.12945    1.8001     1.8        1.8        1.8001     1.8        1.8001    
 800.E-12   1.8       -27.384E-6  5.0031E-6  0.027312   1.7998     1.8001     1.8        1.8        1.8001     1.8       
 900.E-12   1.8       -53.949E-6 -5.2636E-6  0.0076813  1.801      1.8002     1.8        1.8001     1.8001     1.8001    
 1.E-9      1.8       -24.696E-6 -4.8689E-6  0.0021923  1.7194     1.8001     1.8        1.8001     1.8        1.7999    
 1.1E-9     1.8       -53.326E-6 -665.83E-9  639.68E-6  0.61983    1.8        1.8        1.8        1.8001     1.8001    
 1.2E-9     1.8       -26.593E-6  4.2365E-6  314.84E-6  0.0019756  1.7995     1.8        1.8001     1.8        1.7999    
 1.3E-9     1.8       -46.983E-6  8.6799E-6  182.81E-6 -39.347E-6  1.8114     1.7998     1.8        1.8001     1.8001    
 1.4E-9     1.8       -50.703E-6  12.378E-6  129.73E-6  14.211E-6  0.93916    1.8012     1.8001     1.8001     1.8001    
 1.5E-9     1.8        63.085E-6 -16.421E-6 -143.97E-6 -30.938E-6 -0.077432   1.7179     1.8        1.7998     1.7998    
 1.6E-9     1.8       -444.21E-6  16.949E-6  134.52E-6  24.416E-6  0.056161   0.93294    1.8        1.8001     1.8001    
 1.7E-9     1.8        0.33729   -18.895E-6 -129.77E-6 -23.722E-6 -0.038567   0.073227   1.7997     1.7998     1.8       
