#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)   
 0.        -48.E-15    10.552E-9  10.552E-9  10.552E-9  10.552E-9  10.552E-9  10.552E-9  10.552E-9  10.552E-9  10.552E-9 
 500.E-12   1.8        15.803E-6 -2.2022E-6  1.3868E-6 -82.075E-6  6.1007E-6  64.543E-6  17.009E-6  14.151E-6  1.4493E-6 
 1.E-9      1.8        20.511E-6 -2.5612E-6  2.0878E-6 -90.596E-6  7.4207E-6  71.341E-6  19.585E-6  17.56E-6   2.027E-6  
 1.5E-9     1.8       -22.832E-6  2.7406E-6 -2.3635E-6  94.058E-6 -7.9992E-6 -74.01E-6  -20.613E-6 -19.149E-6 -2.3169E-6 
 2.E-9      1.8        21.606E-6 -2.6248E-6  2.4686E-6 -93.122E-6  7.8607E-6  73.482E-6  20.627E-6  18.337E-6  2.2587E-6 
 2.5E-9     1.8       -20.722E-6  2.571E-6  -2.5539E-6  92.499E-6 -7.7445E-6 -73.067E-6 -20.669E-6 -17.718E-6 -2.2055E-6 
 3.E-9      1.8        19.972E-6 -2.4778E-6  2.6782E-6 -91.767E-6  7.6718E-6  72.688E-6  20.745E-6  17.187E-6  2.1982E-6 
 3.5E-9     1.8       -19.264E-6  2.4303E-6 -2.7602E-6  91.1E-6   -7.5621E-6 -72.235E-6 -20.774E-6 -16.659E-6 -2.1553E-6 
 4.E-9      1.8        18.678E-6 -2.3439E-6  2.8829E-6 -90.344E-6  7.4992E-6  71.832E-6  20.842E-6  16.219E-6  2.1592E-6 
 4.5E-9     1.8       -18.109E-6  2.3028E-6 -2.9614E-6  89.655E-6 -7.3968E-6 -71.354E-6 -20.861E-6 -15.77E-6  -2.124E-6  
 5.E-9      1.8        17.642E-6 -2.2224E-6  3.0798E-6 -88.881E-6  7.3399E-6  70.929E-6  20.921E-6  15.397E-6  2.1334E-6 
 5.5E-9     37.14E-12 -28.698E-6  2.7652E-6 -5.6843E-6  90.705E-6 -9.5222E-6 -72.388E-6 -25.894E-6 -21.824E-6 -3.1719E-6 
 6.E-9      39.91E-12 -30.757E-6  2.9246E-6 -7.3789E-6  99.953E-6 -11.309E-6 -80.306E-6 -30.001E-6 -24.183E-6 -4.2579E-6 
 6.5E-9    -40.28E-12  31.208E-6 -2.9335E-6  7.8261E-6 -102.05E-6  11.72E-6   82.208E-6  31.061E-6  24.664E-6  4.4838E-6 
 7.E-9      40.16E-12 -29.803E-6  2.8723E-6 -8.0088E-6  102.02E-6 -11.629E-6 -82.308E-6 -31.353E-6 -23.862E-6 -4.3865E-6 
 7.5E-9    -40.27E-12  28.765E-6 -2.7797E-6  8.2421E-6 -101.97E-6  11.616E-6  82.544E-6  31.722E-6  23.271E-6  4.3628E-6 
 8.E-9      40.3E-12  -27.796E-6  2.7321E-6 -8.4232E-6  101.96E-6 -11.555E-6 -82.658E-6 -32.019E-6 -22.68E-6  -4.3006E-6 
 8.5E-9    -40.58E-12  26.998E-6 -2.6452E-6  8.6381E-6 -101.8E-6   11.535E-6  82.809E-6  32.345E-6  22.186E-6  4.2843E-6 
