#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)   
 30.E-9     731.7E-12 -12.089E-6  7.6151E-6 -144.9E-6   33.332E-6 -52.637E-6 -85.998E-6 -152.9E-6  -19.607E-6 -39.668E-6 
 30.5E-9    1.8        14.308E-6 -5.0293E-6  125.53E-6 -36.998E-6  37.242E-6  76.216E-6  137.69E-6  21.683E-6  20.83E-6  
 31.E-9     1.8       -14.843E-6  4.7094E-6 -120.35E-6  28.614E-6 -36.147E-6 -79.502E-6 -135.6E-6  -25.672E-6 -17.206E-6 
 31.5E-9    1.8        18.947E-6 -5.0405E-6  124.84E-6 -35.057E-6  39.482E-6  76.212E-6  139.87E-6  30.302E-6  18.589E-6 
 32.E-9     1.8       -12.235E-6  4.9506E-6 -124.24E-6  31.15E-6  -38.784E-6 -71.504E-6 -138.68E-6 -23.095E-6 -17.651E-6 
 32.5E-9    1.8        6.9426E-6 -4.8414E-6  123.8E-6  -27.88E-6   38.285E-6  67.114E-6  137.84E-6  17.217E-6  16.88E-6  
 33.E-9    -1.0217E-9  5.4057E-6 -12.364E-6  170.13E-6 -19.326E-6  43.129E-6  75.732E-6  149.9E-6   30.287E-6  48.981E-6 
 33.5E-9   -1.0257E-9 -4.5622E-6 -12.516E-6  164.07E-6 -13.256E-6  52.836E-6  59.172E-6  124.29E-6  7.7909E-6  43.696E-6 
 34.E-9     1.0267E-9  6.5696E-6  12.463E-6 -166.32E-6  19.162E-6 -54.355E-6 -55.984E-6 -118.7E-6  -3.9087E-6 -41.873E-6 
 34.5E-9   -1.0268E-9 -8.9581E-6 -11.942E-6  164.86E-6 -22.244E-6  53.54E-6   51.793E-6  112.21E-6  6.4194E-6  38.264E-6 
 35.E-9     1.0272E-9  11.071E-6  11.519E-6 -163.26E-6  18.915E-6 -52.69E-6  -47.702E-6 -105.85E-6 -8.1073E-6 -35.122E-6 
 35.5E-9    1.8       -3.7342E-6 -8.2768E-6  141.37E-6 -26.74E-6   42.838E-6  48.529E-6  103.25E-6  9.1313E-6  18.776E-6 
 36.E-9     1.8       -11.114E-6  8.0245E-6 -128.49E-6  20.49E-6  -39.354E-6 -40.032E-6 -97.877E-6  1.3649E-6 -15.69E-6  
 36.5E-9    1.8        6.7018E-6 -8.5595E-6  132.73E-6 -26.986E-6  42.113E-6  38.921E-6  94.762E-6 -3.1984E-6  18.583E-6 
 37.E-9     1.8       -2.2597E-6  8.3694E-6 -131.33E-6  23.366E-6 -41.616E-6 -35.553E-6 -89.255E-6  6.0752E-6 -17.658E-6 
 37.5E-9    1.8       -1.4793E-6 -8.1776E-6  130.26E-6 -20.364E-6  41.289E-6  32.323E-6  84.156E-6 -2.1421E-6  17.021E-6 
 38.E-9    -1.3571E-9  4.1195E-6 -18.135E-6  159.9E-6  -61.917E-6  35.75E-6   32.049E-6  70.49E-6   28.557E-6  19.221E-6 
 38.5E-9   -1.36E-9   -7.4405E-6 -18.643E-6  150.88E-6 -42.246E-6  45.6E-6    25.341E-6  59.812E-6  7.7367E-6  25.205E-6 
 39.E-9     1.3601E-9  9.3577E-6  18.624E-6 -144.44E-6  38.713E-6 -39.327E-6 -22.951E-6 -57.009E-6 -4.1677E-6 -26.E-6    
 39.5E-9   -1.3598E-9 -11.466E-6 -17.904E-6  136.84E-6 -34.293E-6  33.249E-6  20.279E-6  53.073E-6  6.8755E-6  24.807E-6 
 40.E-9     1.3603E-9  7.2016E-6  17.311E-6 -136.15E-6  30.48E-6  -34.223E-6 -17.639E-6 -49.093E-6 -8.7393E-6 -23.746E-6 
 40.5E-9    1.8        17.481E-6  10.205E-6 -107.15E-6  14.579E-6 -34.604E-6 -9.2886E-6 -25.114E-6 -6.4752E-6 -12.581E-6 
 41.E-9     1.8       -2.3743E-6  13.839E-6 -120.78E-6  23.329E-6 -32.498E-6 -47.544E-6 -59.021E-6  7.8151E-6 -23.485E-6 
 41.5E-9    1.8       -2.5982E-6 -13.607E-6  121.85E-6 -19.929E-6  27.535E-6  44.008E-6  55.031E-6 -3.478E-6   23.334E-6 
 42.E-9     1.8        5.6698E-6  13.305E-6 -115.03E-6  17.507E-6 -22.724E-6 -40.685E-6 -51.243E-6  315.87E-9 -22.631E-6 
 42.5E-9    1.8       -8.1364E-6 -12.979E-6  115.59E-6 -14.965E-6  18.288E-6  37.446E-6  47.534E-6 -3.6142E-6  22.044E-6 
 43.E-9    -1.6984E-9  3.8528E-6 -27.914E-6  80.064E-6 -62.231E-6  13.621E-6  44.23E-6   34.888E-6  7.8677E-6  16.403E-6 
 43.5E-9   -1.6961E-9 -215.55E-9 -27.308E-6  80.022E-6 -43.179E-6  3.9762E-6  35.874E-6  29.75E-6   5.1177E-6 -2.6069E-6 
 44.E-9     1.6987E-9  2.2582E-6  28.76E-6  -77.68E-6   41.714E-6 -2.9077E-6 -34.934E-6 -29.322E-6 -2.4263E-6  5.3196E-6 
 44.5E-9   -1.6988E-9 -5.5356E-6 -27.638E-6  72.605E-6 -37.658E-6  43.987E-9  31.512E-6  26.392E-6  5.0189E-6 -8.6519E-6 
 45.E-9     1.6989E-9  8.346E-6   26.753E-6 -67.726E-6  33.717E-6  2.6384E-6 -28.158E-6 -30.246E-6 -6.9874E-6  11.234E-6 
 45.5E-9    1.8       -15.962E-6 -19.94E-6   77.679E-6 -902.57E-9  4.9593E-6  36.419E-6  36.69E-6   9.6549E-6 -10.205E-6 
 46.E-9     1.8       -7.5538E-6  19.372E-6 -71.66E-6   21.694E-6 -19.461E-6 -32.41E-6  -51.582E-6  675.92E-9 -8.2664E-6 
 46.5E-9    1.8        3.4509E-6 -20.692E-6  69.252E-6 -19.869E-6  15.976E-6  31.468E-6  49.563E-6 -2.4202E-6  3.8658E-6 
 47.E-9     1.8        500.44E-9  20.19E-6  -64.35E-6   17.225E-6 -12.016E-6 -28.379E-6 -45.768E-6  5.2803E-6  317.49E-9 
 47.5E-9    1.8       -3.8351E-6 -19.746E-6  59.835E-6 -14.552E-6  8.3918E-6  25.28E-6   42.121E-6 -7.8701E-6 -3.8533E-6 
 48.E-9    -1.9954E-9  6.9818E-6 -42.985E-6  39.517E-6 -78.614E-6  14.468E-6  94.604E-6  31.103E-6  11.323E-6  5.3134E-6 
 48.5E-9   -1.9871E-9  2.6958E-6 -42.319E-6  31.435E-6 -59.303E-6  13.197E-6  74.987E-6  26.863E-6 -787.89E-9 -7.4336E-6 
 49.E-9     1.9883E-9 -627.48E-9  44.348E-6 -30.252E-6  56.319E-6 -10.215E-6 -72.599E-6 -26.565E-6  2.0019E-6  8.8811E-6 
 49.5E-9   -1.9878E-9 -2.9218E-6 -42.529E-6  33.587E-6 -51.123E-6  12.67E-6   67.636E-6  23.759E-6 -4.6942E-6 -11.258E-6 
 50.E-9     1.9872E-9  5.9612E-6  41.07E-6  -29.931E-6  46.552E-6 -7.9284E-6 -62.605E-6 -27.765E-6  873.64E-9  13.454E-6 
