#Time       v(out)    
 0.         0.        
 10.E-15    0.86713   
 20.E-15    0.8714    
 30.E-15    0.87124   
 40.E-15    0.86899   
 50.E-15    0.87052   
 81.67E-15  0.86691   
 130.E-15   0.86655   
 217.E-15   0.85996   
 373.6E-15  0.85483   
 686.8E-15  0.83997   
 1.E-12     0.83011   
 2.E-12     0.79765   
 3.E-12     0.77738   
 4.E-12     0.75949   
 5.E-12     0.74967   
 6.E-12     0.73932   
 7.E-12     0.73496   
 8.E-12     0.72858   
 9.E-12     0.7271    
 10.E-12    0.72282   
 11.E-12    0.72288   
 12.E-12    0.71974   
 13.E-12    0.72061   
 14.E-12    0.71729   
 15.E-12    0.71881   
 16.E-12    0.71676   
 17.E-12    0.71842   
 18.E-12    0.71647   
 19.E-12    0.7182    
 20.E-12    0.71632   
 21.E-12    0.71809   
 22.E-12    0.71624   
 23.E-12    0.71802   
 24.E-12    0.7162    
 25.E-12    0.71799   
 26.E-12    0.71617   
 27.E-12    0.71797   
 28.E-12    0.71616   
 29.E-12    0.71796   
 30.E-12    0.71616   
 31.E-12    0.71795   
 32.E-12    0.71616   
 33.E-12    0.71795   
 34.E-12    0.71616   
 35.E-12    0.71794   
 36.E-12    0.71616   
 37.E-12    0.71794   
 38.E-12    0.71616   
 39.E-12    0.71794   
 40.E-12    0.71616   
 41.E-12    0.71793   
 42.E-12    0.71616   
 43.E-12    0.71793   
 44.E-12    0.71616   
 45.E-12    0.71793   
 46.E-12    0.71617   
 47.E-12    0.71793   
 48.E-12    0.71617   
 49.E-12    0.71792   
 50.E-12    0.71617   
 51.E-12    0.71792   
 52.E-12    0.71617   
 53.E-12    0.71792   
 54.E-12    0.71618   
 55.E-12    0.71792   
 56.E-12    0.71618   
 57.E-12    0.71792   
 58.E-12    0.71618   
 59.E-12    0.71791   
 60.E-12    0.71618   
 61.E-12    0.71791   
 62.E-12    0.71618   
 63.E-12    0.71864   
 64.E-12    0.71672   
 65.E-12    0.7183    
 66.E-12    0.71586   
 67.E-12    0.71766   
 68.E-12    0.71602   
 69.E-12    0.71842   
 70.E-12    0.71658   
 71.E-12    0.71818   
 72.E-12    0.7158    
 73.E-12    0.7176    
 74.E-12    0.71598   
 75.E-12    0.71834   
 76.E-12    0.71653   
 77.E-12    0.71886   
 78.E-12    0.71692   
 79.E-12    0.71841   
 80.E-12    0.71609   
 81.E-12    0.7178    
 82.E-12    0.7155    
 83.E-12    0.71736   
 84.E-12    0.71583   
 85.E-12    0.71811   
 86.E-12    0.71639   
 87.E-12    0.71864   
 88.E-12    0.71678   
 89.E-12    0.71901   
 90.E-12    0.71706   
 91.E-12    0.71849   
 92.E-12    0.71625   
 93.E-12    0.71789   
 94.E-12    0.71568   
 95.E-12    0.71747   
 96.E-12    0.71528   
 97.E-12    0.71717   
 98.E-12    0.715     
 99.E-12    0.71696   
 100.E-12   0.71557   
 101.E-12   0.7179    
 102.E-12   0.71668   
 103.E-12   0.71858   
 104.E-12   0.71605   
 105.E-12   0.71746   
 106.E-12   0.71557   
 107.E-12   0.71807   
 108.E-12   0.71667   
 109.E-12   0.7187    
 110.E-12   0.71687   
 111.E-12   0.71897   
 112.E-12   0.71707   
 113.E-12   0.71915   
 114.E-12   0.71721   
 115.E-12   0.71928   
 116.E-12   0.71731   
 117.E-12   0.71861   
 118.E-12   0.71638   
 119.E-12   0.71754   
 120.E-12   0.71572   
 121.E-12   0.71808   
 122.E-12   0.71673   
 123.E-12   0.71865   
 124.E-12   0.71616   
 125.E-12   0.71758   
 126.E-12   0.71572   
 127.E-12   0.71809   
 128.E-12   0.71671   
 129.E-12   0.71865   
 130.E-12   0.71616   
 131.E-12   0.71759   
 132.E-12   0.71573   
 133.E-12   0.71808   
 134.E-12   0.71671   
 135.E-12   0.71863   
 136.E-12   0.71617   
 137.E-12   0.71759   
 138.E-12   0.71575   
 139.E-12   0.71807   
 140.E-12   0.71671   
 141.E-12   0.71861   
 142.E-12   0.71618   
 143.E-12   0.71758   
 144.E-12   0.71577   
 145.E-12   0.71806   
 146.E-12   0.71672   
 147.E-12   0.71858   
 148.E-12   0.7162    
 149.E-12   0.71758   
 150.E-12   0.71563   
 151.E-12   0.71756   
 152.E-12   0.71589   
 153.E-12   0.71804   
 154.E-12   0.7168    
 155.E-12   0.71856   
 156.E-12   0.71626   
 157.E-12   0.71756   
 158.E-12   0.71568   
 159.E-12   0.71752   
 160.E-12   0.71545   
 161.E-12   0.71679   
 162.E-12   0.71508   
 163.E-12   0.71747   
 164.E-12   0.7162    
 165.E-12   0.71813   
 166.E-12   0.71628   
 167.E-12   0.71793   
 168.E-12   0.71588   
 169.E-12   0.7171    
 170.E-12   0.71541   
 171.E-12   0.71769   
 172.E-12   0.71644   
 173.E-12   0.71829   
