#Time       v(a0)      v(b0)      v(a1)      v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(cout)    v(a1)     
 0.        -145.E-15   1.8       -145.E-15   1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        10.552E-9 -145.E-15  
 100.E-12   1.8        1.7998     62.116E-6  1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8       -577.99E-9  62.116E-6 
 200.E-12   1.8        1.7998     38.376E-6  1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8       -481.43E-9  38.376E-6 
 300.E-12   1.8        1.7998     26.895E-6  1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8       -402.6E-9   26.895E-6 
 400.E-12   1.8        1.8001    -32.114E-6  1.7999     1.8        1.8001     1.8        1.8        1.8        1.8        1.8        469.03E-9 -32.114E-6 
 500.E-12   1.8        1.8        14.834E-6  1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8       -411.19E-9  14.834E-6 
 600.E-12   1.8        1.8001    -20.537E-6  1.7996     1.8        1.8        1.8        1.8        1.8        1.8        1.8        406.16E-9 -20.537E-6 
 700.E-12   1.8        1.7999     14.979E-6  1.8119     1.7995     1.8        1.8        1.8        1.8        1.8        1.8       -358.25E-9  14.979E-6 
 800.E-12   1.8        1.8       -17.392E-6  0.7908     1.8188     1.8001     1.8        1.8        1.8        1.8        1.8        353.35E-9 -17.392E-6 
 900.E-12   1.8        1.8        15.842E-6 -0.034591   0.57487    1.7999     1.8        1.8        1.8        1.8        1.8       -307.74E-9  15.842E-6 
 1.E-9      1.8        1.8       -14.833E-6  0.024128  -0.097161   1.8        1.8        1.8        1.8        1.8        1.8        306.12E-9 -14.833E-6 
 1.1E-9     1.8        1.8        14.901E-6 -0.016616   0.070469   1.7997     1.8        1.8        1.8        1.8        1.8       -264.09E-9  14.901E-6 
 1.2E-9     1.8        1.8       -15.487E-6  0.012047  -0.047802   1.8044     1.8        1.8        1.8        1.8        1.8        266.45E-9 -15.487E-6 
 1.3E-9     1.8        1.8        14.677E-6 -0.0087425  0.034765   1.4943     1.8        1.8        1.8        1.8        1.8       -228.74E-9  14.677E-6 
 1.4E-9     1.8        1.8       -14.899E-6  0.0064465 -0.024791   0.38622    1.8        1.8        1.8        1.8        1.8        235.19E-9 -14.899E-6 
 1.5E-9     1.8        1.8        14.654E-6 -0.0047548  0.018123  -0.1096     1.7997     1.8        1.8        1.8        1.8       -201.39E-9  14.654E-6 
 1.6E-9     1.8        1.8       -14.541E-6  0.0035372 -0.013132   0.050185   1.8057     1.8        1.8        1.8        1.8        211.8E-9  -14.541E-6 
 1.7E-9     1.8        1.8        14.599E-6 -0.0026383  0.0096207 -0.023081   1.2624     1.8        1.8        1.8        1.8       -181.81E-9  14.599E-6 
 1.8E-9     1.8        1.8       -14.638E-6  0.0019801 -0.0070158  0.010993   0.12844    1.8        1.8        1.8        1.8        195.55E-9 -14.638E-6 
 1.9E-9     1.8        1.8       -18.934E-6  711.27E-6 -0.001957   334.27E-6  0.019934   1.7997     1.8        1.8        1.8        158.86E-9 -18.934E-6 
 2.E-9      1.8        1.8       -17.137E-6  333.17E-6 -569.E-6    41.835E-6  0.0035917  1.8021     1.8        1.8        1.8        163.28E-9 -17.137E-6 
 2.1E-9     1.8        1.8001    -16.443E-6  148.77E-6 -271.64E-6  16.197E-6  670.08E-6  1.6879     1.8        1.8        1.8        170.86E-9 -16.443E-6 
 2.2E-9     1.8        1.8        8.7152E-6  2.7112E-6  63.864E-6 -21.672E-6 -85.749E-6  0.40303    1.8        1.8        1.8       -149.57E-9  8.7152E-6 
 2.3E-9     1.8        1.8001    -19.334E-6 -56.126E-6 -16.899E-6  29.302E-6  35.449E-6  0.0014481  1.7998     1.8        1.8        194.9E-9  -19.334E-6 
 2.4E-9     1.8        1.8001    -13.647E-6 -79.776E-6 -6.5519E-6  35.186E-6  36.362E-6  17.968E-6  1.82       1.8        1.8        227.65E-9 -13.647E-6 
 2.5E-9     1.8        1.8       -16.333E-6 -89.377E-6  2.4337E-6  35.364E-6  35.686E-6  1.8273E-6  0.87237    1.8        1.8        228.26E-9 -16.333E-6 
 2.6E-9     1.8        1.8       -18.263E-6 -95.977E-6  7.2456E-6  35.117E-6  33.736E-6 -1.0008E-6 -0.028696   1.8        1.8        233.18E-9 -18.263E-6 
 2.7E-9    -1.6537E-9  1.7999     53.295E-6  118.77E-6 -9.9742E-6 -54.236E-6 -41.422E-6  2.4014E-6  0.016686   1.7996     1.7999    -268.64E-9  53.295E-6 
 2.8E-9    -2.7597E-9  1.7999     58.661E-6  110.75E-6 -15.917E-6 -33.742E-6 -28.291E-6 -4.3048E-6  37.796E-6  1.8113     1.7999    -281.07E-9  58.661E-6 
 2.9E-9    -4.0052E-9  1.8001     29.522E-6  153.57E-6 -26.32E-6  -36.262E-6 -39.194E-6 -2.9064E-6  6.7652E-6  1.224      1.7999    -526.69E-9  29.522E-6 
 3.E-9     -2.5264E-9  1.8        9.2155E-6  173.21E-6 -33.484E-6 -46.859E-6 -47.395E-6 -4.6508E-6  7.2026E-6 -0.024522   1.7998    -753.47E-9  9.2155E-6 
 3.1E-9    -2.4307E-9  1.8        26.245E-6  179.73E-6 -36.379E-6 -44.428E-6 -48.628E-6 -3.8371E-6  6.2431E-6 -0.0017426  1.7999    -381.8E-9   26.245E-6 
 3.2E-9    -2.454E-9   1.8        36.075E-6  143.24E-6 -37.431E-6 -42.078E-6 -47.095E-6 -3.8507E-6  5.6456E-6 -198.E-6    1.8002    -31.626E-6  36.075E-6 
 3.3E-9    -4.08E-9    1.8       -38.085E-6 -92.098E-6  33.278E-6  33.289E-6  37.082E-6  3.4216E-6 -4.3093E-6  23.397E-6  1.8048    -326.62E-6 -38.085E-6 
 3.4E-9    -4.6857E-9  1.8        55.681E-6  181.2E-6   173.91E-6 -36.643E-6 -38.974E-6 -3.1508E-6  5.1204E-6 -13.237E-6  1.7488     0.26703    55.681E-6 
 3.5E-9    -2.6474E-9  1.8        40.502E-6 -65.465E-6  38.314E-6 -47.105E-6 -45.113E-6 -3.9427E-6  5.3624E-6 -14.32E-6   0.11258    1.8361     40.502E-6 
 3.6E-9    -1.5051E-9  1.8        47.529E-6 -0.0035543 -0.0019186 -34.284E-6 -47.115E-6 -3.3503E-6  5.8512E-6 -12.193E-6  0.022589   1.8034     47.529E-6 
 3.7E-9    -1.6671E-9  1.8        54.37E-6   853.71E-6 -0.010142  -33.57E-6  -38.048E-6 -3.4071E-6  5.9724E-6 -10.978E-6  0.0065062  1.8005     54.37E-6  
 3.8E-9    -3.3427E-9  1.8        59.903E-6  1.2762     0.52641   -33.932E-6 -37.883E-6 -3.339E-6   6.183E-6  -10.505E-6  0.0019218  1.7999     59.903E-6 
 3.9E-9    -612.5E-12  1.8        63.307E-6  1.7956     1.8279    -38.287E-6 -40.466E-6 -3.6461E-6  5.9619E-6 -10.31E-6   589.28E-6  1.7999     63.307E-6 
 4.E-9     -1.7376E-9  1.8        66.832E-6  1.7995     1.8018     201.27E-6 -32.954E-6 -3.0214E-6  6.4475E-6 -10.24E-6   298.61E-6  1.7999     66.832E-6 
 4.1E-9    -1.3678E-9  1.8        69.719E-6  1.7999     1.8001     4.5651E-6 -35.747E-6 -3.4203E-6  6.4427E-6 -10.235E-6  150.87E-6  1.7999     69.719E-6 
 4.2E-9    -904.4E-12  1.8        72.608E-6  1.8        1.8       -0.0024625 -35.153E-6 -3.4622E-6  6.3427E-6 -10.263E-6  94.068E-6  1.7999     72.608E-6 
 4.3E-9    -872.6E-12  1.8        75.777E-6  1.8001     1.8       -0.00874   -24.015E-6 -3.2882E-6  6.7629E-6 -10.331E-6  53.066E-6  1.7999     75.777E-6 
 4.4E-9    -2.0747E-9  1.8        78.798E-6  1.8001     1.8        0.42377   -32.013E-6 -3.4992E-6  7.2241E-6 -10.384E-6  25.374E-6  1.7999     78.798E-6 
 4.5E-9    -1.6458E-9  1.8        81.889E-6  1.8001     1.8        1.5221    -20.882E-6 -3.4848E-6  7.2462E-6 -10.506E-6  6.1142E-6  1.7999     81.889E-6 
 4.6E-9    -1.9477E-9  1.8        85.018E-6  1.8001     1.8        1.7872     100.17E-6 -3.351E-6   8.0024E-6 -10.559E-6 -7.4008E-6  1.7999     85.018E-6 
 4.7E-9    -1.0136E-9  1.8        88.371E-6  1.8001     1.8        1.7998    -651.4E-6  -3.365E-6   8.0698E-6 -10.692E-6 -16.935E-6  1.7999     88.371E-6 
 4.8E-9    -1.0548E-9  1.7999     149.76E-6  1.8001     1.8        1.7999    -0.0062146 -3.6575E-6  8.1885E-6 -10.848E-6 -23.704E-6  1.7999     149.76E-6 
 4.9E-9    -1.4428E-9  1.8        127.56E-6  1.8001     1.8        1.8        0.12499   -3.923E-6   8.5682E-6 -10.885E-6 -28.525E-6  1.7999     127.56E-6 
 5.E-9     -1.2605E-9  1.8       -48.191E-6  1.8001     1.8        1.8        1.518     -9.1216E-6  9.0217E-6 -11.063E-6 -32.079E-6  1.7999    -48.191E-6 
 5.1E-9     1.8        1.8001    -225.23E-6  1.7998     1.8        1.8        1.8861     40.098E-6 -11.966E-6  16.31E-6   40.429E-6  1.8001    -225.23E-6 
 5.2E-9     1.8        1.7999     29.617E-6  1.8001     1.8        1.8        1.7619     118.44E-6  11.057E-6 -14.305E-6 -39.682E-6  1.7999     29.617E-6 
 5.3E-9     1.8        1.7999     135.66E-6  1.8001     1.8        1.8        1.7996    -524.38E-6  10.392E-6 -11.489E-6 -35.259E-6  1.7999     135.66E-6 
 5.4E-9     1.8        1.8001     124.08E-6  1.8001     1.8        1.8        1.8001    -0.0043782  9.9918E-6 -11.4E-6   -36.627E-6  1.7999     124.08E-6 
 5.5E-9     1.8        1.8        249.77E-6  1.8001     1.8        1.8        1.8        0.017111   1.0206E-6 -10.974E-6 -32.916E-6  1.7999     249.77E-6 
 5.6E-9     1.8        1.8        274.64E-6  1.7997     1.7996     1.8        1.8        0.80848   -17.688E-6  13.692E-6  45.491E-6  1.8001     274.64E-6 
 5.7E-9     1.8        1.8        135.93E-6  1.8293     1.8024     1.7999     1.8        1.6526     139.09E-6 -13.275E-6 -40.858E-6  1.7999     135.93E-6 
 5.8E-9     1.8        1.8       -286.12E-6  0.16195    1.6381     1.8001     1.8        1.789     -176.82E-6  5.5982E-6  23.318E-6  1.8001    -286.12E-6 
 5.9E-9     1.8        1.8        243.26E-6  275.56E-6 -0.0033823  1.8001     1.8        1.7992    -0.003526   16.3E-6    46.593E-6  1.8001     243.26E-6 
 6.E-9      1.8        1.8       -156.14E-6  18.291E-6 -169.49E-6  1.7996     1.8        1.7998    -0.0041172  10.156E-6  38.152E-6  1.8001    -156.14E-6 
 6.1E-9     1.8        1.7999     463.78E-6  100.02E-6  43.824E-6  1.8021     1.8        1.8        0.84729   -28.239E-6 -54.602E-6  1.8001     463.78E-6 
 6.2E-9     1.8        1.8       -66.982E-6  97.952E-6  22.512E-6  1.6661     1.8        1.8        1.7546     27.584E-6 -45.417E-6  1.7999    -66.982E-6 
 6.3E-9     1.8        1.8001    -82.917E-6 -116.85E-6 -12.013E-6  0.25594    1.8        1.8        1.7995     77.99E-6   50.84E-6   1.7999    -82.917E-6 
 6.4E-9     1.8        1.8        63.432E-6 -102.68E-6 -4.8783E-6  536.16E-6  1.7997     1.8        1.7999    -418.98E-6  42.455E-6  1.8001     63.432E-6 
 6.5E-9     1.8        1.7999     162.56E-6  130.35E-6  4.0216E-6  13.949E-6  1.809      1.8        1.8       -0.0034709 -47.24E-6   1.8001     162.56E-6 
 6.6E-9     1.8        1.8       -294.23E-6  147.01E-6  3.1805E-6 -13.424E-6  1.1324     1.8        1.8       -0.0033375 -53.274E-6  1.7999    -294.23E-6 
 6.7E-9     1.8        1.7999    -56.374E-6  182.38E-6  4.0192E-6 -27.585E-6 -0.053839   1.8        1.8        0.71366   -66.307E-6  1.8       -56.374E-6 
 6.8E-9     1.8        1.8        238.02E-6  127.01E-6  3.505E-6  -11.926E-6  247.89E-6  1.7998     1.8        1.6996     113.79E-6  1.8001     238.02E-6 
 6.9E-9     1.8        1.8        195.34E-6 -166.93E-6 -4.4467E-6  26.273E-6 -6.1154E-6  1.8053     1.8        1.7967     102.51E-6  1.7999     195.34E-6 
 7.E-9      1.8        1.8002    -348.37E-6 -233.97E-6 -6.0247E-6  53.414E-6  1.1527E-6  1.5135     1.8        1.7998     81.814E-6  1.8002    -348.37E-6 
 7.1E-9     1.8        1.8       -199.99E-6  120.14E-6  4.037E-6  -20.329E-6 -2.1123E-6  0.16427    1.7998     1.7999    -111.55E-6  1.7999    -199.99E-6 
 7.2E-9     1.8        1.8001     430.25E-6 -231.06E-6 -6.8734E-6  57.337E-6  5.6657E-6  868.81E-6  1.8002     1.8       -676.43E-6  1.7995     430.25E-6 
 7.3E-9     1.8        1.8001    -85.706E-6 -165.27E-6 -5.5107E-6  44.842E-6  15.15E-6   45.842E-6  1.7973     1.8       -0.0011436  1.7697    -85.706E-6 
 7.4E-9     1.8        1.7999    -408.13E-6  191.38E-6  6.1311E-6 -39.019E-6 -18.296E-6  4.3556E-6  0.34647    1.8       -0.0023141 -0.044318  -408.13E-6 
 7.5E-9     1.8        1.7999    -153.E-6    138.14E-6  6.4433E-6 -30.422E-6 -22.415E-6 -825.74E-9  0.012559   1.7998    -0.0057676 -0.012692  -153.E-6   
 7.6E-9     1.8        1.8       -242.71E-6 -162.46E-6 -4.9599E-6  15.61E-6   17.448E-6  4.0332E-6  39.214E-6  1.8003     0.090462   116.42E-6 -242.71E-6 
 7.7E-9    -1.8857E-9  1.8        152.88E-6  71.873E-6  4.5956E-6 -22.277E-6 -25.093E-6 -3.1773E-6 -1.8198E-6  1.8125     1.4709    -109.3E-6   152.88E-6 
 7.8E-9    -1.3277E-9  1.8001    -199.33E-6  70.374E-6  15.035E-6  11.189E-6 -11.786E-6 -4.6468E-6 -12.266E-6  0.54207    1.7983    -190.95E-6 -199.33E-6 
 7.9E-9    -6.0775E-9  1.7999     142.43E-6 -97.349E-6 -13.006E-6  153.41E-9 -11.336E-6  1.6377E-6  7.6268E-6  237.61E-6  1.7998     48.399E-6  142.43E-6 
 8.E-9     -5.8758E-9  1.7999    -541.7E-6  -49.389E-6 -24.569E-6  4.6789E-6  33.719E-6  5.6941E-6  22.262E-6  74.838E-6  1.8035     148.42E-6 -541.7E-6  
 8.1E-9    -1.5322E-9  1.8001    -735.72E-9  25.168E-6  24.166E-6 -18.801E-6 -6.9786E-6 -2.9344E-6 -18.009E-6  8.4854E-6  1.8082     75.583E-6 -735.72E-9 
 8.2E-9    -5.2944E-9  1.7998    -431.29E-6 -169.11E-6 -40.841E-6  2.9568E-6  42.524E-6  5.7274E-6  37.19E-6   13.311E-6  0.2502    -0.015223  -431.29E-6 
 8.3E-9    -4.7834E-9  1.8        13.229E-6 -116.43E-6 -50.851E-6 -11.465E-6  30.103E-6  5.564E-6   12.13E-6   15.057E-6  0.038664   1.0281     13.229E-6 
 8.4E-9    -3.9957E-9  1.8001     95.429E-6 -13.327E-6  29.318E-6  20.957E-6  21.602E-6  4.9692E-6  19.671E-6  14.767E-6  0.010975   1.8042     95.429E-6 
 8.5E-9    -4.8263E-9  1.8       -91.835E-6  156.56E-6 -6.2083E-6 -9.7754E-6  19.165E-6  4.7469E-6  9.3223E-6  14.364E-6  0.0031885  1.7998    -91.835E-6 
