#Time       v(a0)      v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(cout)   
 0.        -167.E-15   1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        10.552E-9 
 1.E-9      1.8       -197.3E-6   0.0113     1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       -56.361E-9 
 2.E-9      1.8        19.107E-6 -143.49E-6 -0.0027827  929.23E-6  1.7345     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        222.45E-9 
 3.E-9      1.8       -10.644E-6  5.9068E-6 -1.3251E-6  11.79E-6  -963.25E-9  568.27E-6  0.012948   1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       -1.1102E-6 
 4.E-9      1.8        9.5305E-6 -3.6793E-6  4.6456E-6 -7.9774E-6  1.0436E-6 -741.59E-9  9.3364E-6 -27.018E-6  0.011335   1.8002     1.8        1.8        1.8        1.8        1.8        1.8        873.85E-9 
 5.E-9      1.8        12.797E-6 -265.05E-9  9.6531E-6 -10.245E-6  853.36E-9 -476.93E-9 -7.7558E-6  3.6655E-6  16.172E-6 -752.86E-9  4.1404E-6 -0.042029   1.7998     1.8        1.8        1.8        1.1363E-6 
 6.E-9      1.8        12.15E-6   1.6403E-6  12.84E-6  -9.9876E-6  914.34E-9 -27.65E-9  -7.0207E-6  3.3661E-6  15.987E-6 -1.513E-6  -4.8593E-6 -510.42E-6  246.2E-6   0.01676    1.814      1.8        1.2907E-6 
 7.E-9      1.8       -11.867E-6 -1.4596E-6 -12.13E-6   9.5125E-6 -726.08E-9  205.89E-9  5.6828E-6 -2.4107E-6 -13.288E-6  1.5317E-6  2.567E-6   6.4006E-6 -12.241E-6 -66.877E-6  0.0085155 -0.015956   1.7909    
 8.E-9      1.8        13.129E-6  2.5836E-6  15.581E-6 -12.47E-6   939.36E-9  72.579E-9 -7.5366E-6  3.5926E-6  16.083E-6 -2.2788E-6 -3.0325E-6 -7.5705E-6  6.2802E-6  13.815E-6 -0.0034264  0.0069657  1.8019    
 9.E-9      1.8        13.6E-6    3.001E-6   16.813E-6 -13.765E-6  1.0206E-6  140.95E-9 -8.3482E-6  4.0946E-6  17.225E-6 -2.6003E-6 -3.3235E-6 -8.5786E-6  5.5398E-6  10.312E-6 -0.0030239  0.0061902  1.8015    
 10.E-9     1.8        13.51E-6   3.2716E-6  17.288E-6 -13.553E-6  1.0778E-6  194.21E-9 -8.2433E-6  3.997E-6   17.298E-6 -2.5475E-6 -3.237E-6  -8.748E-6   4.5031E-6  7.5085E-6 -0.0026697  0.0055004  1.8012    
 11.E-9    -76.99E-12  47.892E-6  117.11E-6  44.522E-6 -20.084E-6  1.9882E-6  1.1214E-6 -9.9803E-6  4.6212E-6  22.018E-6 -2.2495E-6 -3.6175E-6 -10.468E-6 -1.7649E-6 -5.007E-6  -5.4669E-6 -45.614E-6  1.7999    
 12.E-9    -4.0276E-9  1.7999     1.8001     1.7953     72.478E-6 -1.4588E-6 -911.76E-9  7.2278E-6 -3.2725E-6 -16.573E-6  1.5676E-6  2.1894E-6  6.4012E-6  1.4546E-6  2.8572E-6  2.9218E-6  30.371E-6  1.8       
 13.E-9    -75.59E-12  1.8        1.8        1.8        1.7999     0.15417   -208.57E-9 -9.8686E-6  5.1126E-6  22.683E-6 -2.2732E-6 -3.0553E-6 -7.6263E-6 -1.5485E-6 -3.8151E-6  377.66E-9 -36.374E-6  1.7999    
 14.E-9    -3.3759E-9  1.8        1.8        1.8        1.8        1.8        1.7999    -0.0024651 -6.882E-6  -30.782E-6  3.2778E-6  3.9507E-6  9.8221E-6  2.2214E-6  5.2772E-6 -2.5946E-6  44.947E-6  1.8001    
