#Time       v(a0)      v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(cout)   
 0.        -134.E-15   1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        10.552E-9 
 500.E-12   1.8        1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       -54.005E-9 
 1.E-9      1.8       -6.191E-6   784.57E-6  1.8007     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       -132.58E-9 
 1.5E-9     1.8       -9.8627E-6 -184.24E-6  0.0028398  1.2395     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        337.55E-9 
 2.E-9      1.8       -9.0906E-6 -105.05E-6  431.31E-6 -0.001985   0.20107    1.7998     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        651.32E-9 
 2.5E-9     1.8       -8.0291E-6 -92.499E-6  243.95E-6 -244.75E-6  0.0016688 -0.075356   1.8036     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        932.56E-9 
 3.E-9      1.8        5.3832E-6  67.81E-6  -108.57E-6  1.3921E-6 -19.07E-6   0.0018776 -0.0039817  1.5486     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       -1.2228E-6 
 3.5E-9     1.8       -2.4997E-6 -66.579E-6  63.397E-6 -11.053E-6 -9.0528E-6 -34.536E-6 -4.7374E-6 -1.7751E-6 -565.36E-6  1.7998     1.8        1.8        1.8        1.8        1.8        1.8        3.2743E-6 
 4.E-9      1.8       -4.0278E-6 -82.962E-6  77.207E-6 -12.523E-6 -9.1189E-6 -40.568E-6 -3.379E-6  -2.4351E-6 -26.977E-6  490.06E-6  1.804      1.8        1.8        1.8        1.8        1.8        5.0461E-6 
 4.5E-9     1.8       -7.6156E-6 -103.86E-6  86.068E-6 -13.967E-6 -8.9128E-6 -54.302E-6 -4.8091E-6 -2.4411E-6 -13.247E-6  1.7289E-6  6.933E-6   0.13494    1.8        1.8        1.8        1.8        7.3099E-6 
 5.E-9      1.8       -16.214E-6 -133.37E-6  112.6E-6  -14.842E-6 -12.766E-6 -44.906E-6 -5.1161E-6 -4.1135E-6 -14.759E-6  1.7057E-6 -6.6221E-6 -3.8983E-6  0.025132   1.8008     1.8        1.8        12.191E-6 
 5.5E-9     1.8       -39.326E-6 -131.43E-6  152.77E-6 -23.948E-6 -15.251E-6 -31.797E-6 -6.6423E-6 -8.7649E-6 -25.681E-6  1.7013E-6 -11.011E-6 -4.4101E-6 -1.1415E-6 -149.08E-6  0.70444    1.8        28.007E-6 
