#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(sum16)   v(sum17)   v(sum18)   v(sum19)   v(sum20)   v(sum12)   v(sum22)   v(sum23)   v(sum24)   v(sum25)   v(sum26)   v(sum27)   v(sum28)   v(sum29)   v(sum30)   v(sum31)  
 0.        -620.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 1.E-9      1.8        8.5125E-9  0.070351   0.0060533  1.7995     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 2.E-9      1.8        14.798E-9 -213.24E-6 -26.101E-6 -130.51E-6  272.93E-6  0.020013   1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 3.E-9      1.8        35.791E-9 -31.394E-6  43.911E-6  11.832E-6 -1.7914E-6  37.894E-6 -82.608E-6 -993.76E-9  1.4526     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 4.E-9      1.8       -470.36E-9  65.808E-6 -62.901E-6 -42.719E-6  18.577E-6 -64.131E-6  23.901E-6  1.9276E-6  972.41E-9  57.601E-6  0.0025639  1.7428     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 5.E-9      1.8        3.3672E-6 -127.39E-6  44.187E-6  81.317E-6 -46.029E-6  91.66E-6  -40.529E-6 -3.4454E-6 -934.06E-9  1.5039E-6 -1.6095E-6  1.1229E-6 -4.5266E-6 -0.0015432  1.799      1.8        1.8        1.8        1.8        1.8        1.8        1.8       -0.0015432  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 6.E-9      1.8        6.2752E-6 -127.91E-6  51.849E-6  67.989E-6 -95.159E-6  85.282E-6 -77.087E-6 -6.4061E-6 -1.911E-6   1.8947E-6 -1.6905E-6  2.3484E-6 -4.5274E-6  8.6883E-6  4.0142E-6  5.2607E-6  0.028918   1.7995     1.8        1.8        1.8        1.8        8.6883E-6  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 7.E-9      1.8        7.944E-6  -117.42E-6  50.161E-6  62.829E-6 -90.928E-6  74.185E-6 -89.619E-6 -7.1069E-6 -2.0028E-6  1.9997E-6 -1.6959E-6  2.0167E-6 -4.1411E-6  8.5065E-6  1.2857E-6 -1.8698E-6  15.982E-6  0.022841   0.010014   1.1857     1.8        1.8        8.5065E-6  1.8        1.8        1.8        1.8        1.8        1.7999     1.7999     1.7999     1.7999     1.8       
 8.E-9      1.8        8.8101E-6 -106.42E-6  48.183E-6  56.348E-6 -82.752E-6  71.E-6    -93.853E-6 -7.175E-6  -2.03E-6    1.9925E-6 -1.7063E-6  1.5762E-6 -3.82E-6    8.0656E-6  648.28E-9 -167.09E-9  12.106E-6  0.0013588 -21.966E-6  19.133E-6  130.54E-6 -0.053425   8.0656E-6  1.8        1.8        1.8        1.8        1.8        1.7999     1.7999     1.7999     1.7999     1.8       
 9.E-9      1.8       -9.1468E-6  94.345E-6 -51.519E-6 -48.505E-6  68.665E-6 -62.319E-6  93.569E-6  6.8514E-6  1.885E-6  -1.5852E-6  1.5801E-6 -1.2794E-6  3.4791E-6 -7.3033E-6 -631.47E-9 -493.28E-9 -139.32E-9 -68.636E-6  7.0682E-6 -3.1538E-6  7.0129E-6 -21.039E-6 -7.3033E-6  0.0022383  0.32526    1.7999     1.8        1.8        1.8001     1.8001     1.8001     1.8001     1.8       
 10.E-9     1.8        10.786E-6 -75.476E-6  53.595E-6  49.46E-6  -54.822E-6  59.159E-6 -64.096E-6 -6.4484E-6 -1.9184E-6  586.49E-9 -1.7059E-6  1.1586E-6 -3.3716E-6  5.627E-6   853.49E-9  107.08E-9 -3.9895E-6 -10.666E-6  2.7843E-6 -3.3758E-6  2.6361E-6 -2.9165E-6  5.627E-6  -3.3757E-6  2.2393E-6  15.168E-6  419.28E-6  1.2086     1.7999     1.7999     1.7999     1.7999     1.8       
 11.E-9     1.8       -23.635E-6  114.88E-6 -83.295E-6 -68.239E-6  63.272E-6 -92.95E-6   93.941E-6  17.065E-6  5.446E-6  -5.2888E-6  3.26E-6   -4.4687E-6  8.9503E-6 -10.672E-6  1.4871E-6 -120.69E-9  7.7209E-6  19.347E-6 -6.1615E-6  6.056E-6  -3.6852E-6  6.3328E-6 -10.672E-6  9.5723E-6 -4.2431E-6  1.7821E-6 -254.46E-9  13.458E-6  0.0045093 -0.0583     0.65431    1.8001     1.8       
 12.E-9     1.8        1.8186    -102.08E-6  72.514E-6  58.983E-6 -46.22E-6   71.882E-6 -65.04E-6  -16.514E-6 -5.4732E-6  4.2907E-6 -3.4287E-6  4.29E-6   -8.4924E-6  10.92E-6  -1.8253E-6  179.98E-9 -6.712E-6  -17.84E-6   5.397E-6  -5.5666E-6  3.091E-6  -5.6147E-6  10.92E-6  -8.5208E-6  3.7251E-6 -1.2971E-6  33.812E-9 -7.3086E-6 -211.43E-6  942.8E-6  -0.0013677 -0.0098071  0.30904   
