#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(sum16)   v(sum17)   v(sum18)   v(sum19)   v(sum20)   v(sum12)   v(sum22)   v(sum23)   v(sum24)   v(sum25)   v(sum26)   v(sum27)   v(sum28)   v(sum29)   v(sum30)   v(sum31)  
 0.        -620.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 750.E-12   1.8        8.8138E-9  0.026087   1.7231     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 1.5E-9     1.8       -1.9312E-9  37.042E-6 -167.48E-6 -0.010867   0.56948    1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 2.25E-9    1.8       -19.806E-9  28.39E-6  -36.597E-6 -182.06E-6  0.0012926  0.0050667  0.76786    1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 3.E-9      1.8       -37.878E-9  31.029E-6 -31.221E-6 -23.671E-6  157.84E-6  447.3E-6   0.0042086 -0.0012108  1.4383     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 3.75E-9    1.8       -58.664E-9  28.197E-6 -23.796E-6  3.5294E-6  24.109E-6  84.811E-6  385.55E-6  20.274E-6  44.43E-6   0.012598   1.4509     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 4.5E-9     1.8       -453.81E-9  43.116E-6 -24.574E-6  18.513E-6 -7.9803E-6  8.3922E-6 -14.39E-6   1.8619E-6 -832.58E-9  785.7E-9  -858.04E-9  8.8992E-6  0.049617   1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 5.25E-9    1.8       -2.2969E-6  77.195E-6 -39.776E-6  39.786E-6 -15.596E-6  11.128E-6 -34.539E-6  1.8907E-6 -729.82E-9  2.8577E-6 -742.91E-9 -2.5452E-6 -4.444E-6   8.1547E-6  0.61169    1.7999     1.8        1.8        1.8        1.8        1.8        1.8        8.1547E-6  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 6.E-9      1.8       -6.7415E-6  183.49E-6 -88.619E-6  112.11E-6 -41.178E-6  20.038E-6 -85.872E-6  2.8125E-6 -830.94E-9 -2.1986E-6 -494.44E-9 -5.3232E-6 -8.5574E-6  25.974E-9  3.8356E-6  81.794E-6  0.066566   1.7995     1.8        1.8        1.8        1.8        25.974E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 6.75E-9    1.8       -16.695E-6  97.725E-6 -136.27E-6  76.232E-6 -91.864E-6  32.38E-6  -57.773E-6  3.9917E-6 -2.1256E-6  2.0064E-6 -1.3947E-6 -11.294E-6 -19.897E-6  1.4456E-6  3.9599E-6 -3.455E-6   4.7786E-6  16.558E-6  0.018648   1.8001     1.8        1.8        1.4456E-6  1.8        1.8        1.8        1.8        1.8        1.8001     1.8001     1.8001     1.8001     1.8       
