#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)  
 0.        -183.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 1.E-9      1.8       -3.8673E-6 -63.802E-6 -0.002661   1.7999     1.8001     1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 2.E-9      1.8        4.5194E-6  58.123E-6  99.062E-6  0.0022641  0.0030063  1.8117     1.8        1.7998     1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 3.E-9      1.8        8.475E-6   75.144E-6  24.832E-6  33.093E-6  5.8433E-6  70.283E-6 -7.939E-6  -5.3508E-6  2.3559E-6  1.8003     1.8        1.8        1.8        1.8001     1.8        1.8001     1.8       
 4.E-9      1.8        1.7944     79.185E-6  23.863E-6  21.38E-6  -2.1645E-6 -3.7221E-6 -13.391E-6 -5.8422E-6  2.9355E-6  0.014414   0.0059653 -283.29E-6 -419.34E-6 -0.048683  -0.010573  -0.013811   0.0098563 
 5.E-9      3.0867E-9  1.8        1.7999     1.7748     22.73E-6  -31.956E-6  157.08E-6  59.678E-6  15.055E-6 -8.6536E-6  64.152E-6 -3.8296E-6  8.4513E-6  13.355E-6 -122.31E-6  2.0295E-6 -21.099E-6 -3.6084E-6 
 6.E-9      2.3688E-9  1.8001     1.8        1.8001     1.8008     1.8062    -0.0013358  41.459E-6  9.3477E-6  7.8165E-6  68.218E-6 -4.092E-6   6.8793E-6  11.732E-6 -96.954E-6 -7.3895E-6 -3.9404E-6 -3.7557E-6 
 7.E-9     -1.2899E-9  1.8        1.7999     1.8001     1.7999     1.7999     1.8        1.8        1.8        1.7998     54.691E-6 -7.5726E-6  11.155E-6  12.138E-6 -120.69E-6 -22.528E-6 -4.8559E-6 -3.7476E-6 
 8.E-9      5.4262E-9  197.22E-6  1.7999     1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.799      1.5494     1.7746     1.7807     1.804      1.8003     1.8091     1.7772    
 9.E-9      1.8        11.2E-6    26.553E-6 -0.0063494  1.7998     1.8001     1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8001     1.8001     1.8001     1.8       
 10.E-9     1.8        13.241E-6  88.34E-6  -345.46E-6 -0.012702   0.0038386  1.8139     1.8        1.7999     1.7998     1.7999     1.8        1.8        1.8        1.8        1.8001     1.8001     1.8       
 11.E-9     1.8        15.224E-6  98.484E-6  7.677E-6   168.39E-6  115.76E-6 -69.153E-6  591.07E-6 -5.4057E-6 -5.5848E-6  1.8003     1.8        1.8        1.8        1.8        1.8001     1.8        1.8       
 12.E-9     1.8        1.7965     72.464E-6  29.367E-6  120.45E-6  108.71E-6 -15.585E-6 -56.24E-6  -36.51E-6   12.182E-6 -136.02E-6  0.001842   18.495E-6  2.1156E-6 -493.09E-6  58.605E-6 -0.0040371 -61.295E-6 
 13.E-9     4.7513E-9  1.8        1.7999     1.7738    -17.948E-6 -128.89E-6  112.6E-6   13.556E-6  14.319E-6 -2.7112E-6  161.31E-6 -5.1917E-6  20.71E-6   19.231E-6 -97.654E-6 -140.37E-6 -116.7E-6   545.89E-9 
 14.E-9    -13.716E-9  1.8        1.8001     1.7999     1.8001     1.8       -0.0021715 -10.004E-6  91.468E-6  190.41E-6 -164.9E-6   8.0508E-6 -15.134E-6 -19.126E-6  71.502E-6  139.83E-6  162.42E-6 -3.2204E-6 
 15.E-9    -15.608E-9  1.8        1.8001     1.7999     1.8        1.8        1.7999     1.8        1.8        1.7998    -479.02E-6  1.9619E-6 -15.684E-6 -14.79E-6   62.431E-6  136.97E-6  175.42E-6  501.15E-9 
