#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)  
 0.        -183.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 100.E-12   1.8        59.013E-6  1.8        1.8        1.8        1.8001     1.7999     1.8        1.8001     1.8001     1.8        1.8        1.8002     1.8002     1.8002     1.8001     1.8        1.8001    
 200.E-12   1.8        18.378E-6  1.7999     1.8        1.8        1.7999     1.7999     1.7999     1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.8       
 300.E-12   1.8       -7.8374E-6  1.7998     1.8        1.8        1.7999     1.8001     1.7999     1.8        1.8        1.7999     1.8        1.8        1.8        1.8001     1.8001     1.8        1.8       
 400.E-12   1.8        1.1086E-6  1.8258     1.8        1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8001     1.8        1.8001    
 500.E-12   1.8        12.72E-6   0.30244    1.7997     1.8        1.8        1.8001     1.8        1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.8       
 600.E-12   1.8        8.0746E-6  0.04087    1.8074     1.8        1.7999     1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8001     1.8001     1.8        1.7999    
 700.E-12   1.8        640.71E-9 -788.6E-6   1.2199     1.8        1.8001     1.8001     1.8        1.8001     1.8        1.7999     1.8        1.8        1.8001     1.7999     1.7999     1.8        1.8001    
 800.E-12   1.8        9.004E-6  -13.355E-6  0.0026641  1.8        1.7999     1.7999     1.8        1.8        1.8        1.8001     1.8        1.8        1.8        1.7999     1.7999     1.8        1.8       
 900.E-12   1.8       -6.9239E-6  14.381E-6  447.91E-6  1.8        1.8001     1.8        1.7999     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 1.E-9      1.8       -11.413E-6  28.383E-6  255.09E-6  1.7999     1.8        1.8        1.8001     1.8        1.8        1.8001     1.8        1.8        1.8        1.7999     1.7999     1.8        1.8       
 1.1E-9     1.8       -9.3251E-6  34.937E-6  149.09E-6  1.8009     1.8001     1.8        1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8001     1.7999     1.8        1.8001    
 1.2E-9     1.8        25.035E-6 -44.484E-6 -143.26E-6  1.8164     1.8        1.7999     1.7999     1.7999     1.8        1.8        1.8        1.7999     1.8        1.8001     1.8001     1.8        1.7999    
 1.3E-9     1.8        13.56E-6  -41.218E-6 -84.348E-6  0.6725     1.7999     1.8001     1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.8       
 1.4E-9     1.8        16.768E-6 -41.793E-6 -60.876E-6  0.0071121  1.7999     1.7999     1.8        1.8        1.8        1.8001     1.8        1.8001     1.8        1.8001     1.8001     1.8        1.8       
 1.5E-9     1.8       -16.626E-6 -42.883E-6 -46.851E-6  0.0020202  1.7998     1.8        1.7999     1.8        1.8001     1.7999     1.8        1.8        1.8        1.8        1.8001     1.8        1.7999    
 1.6E-9     1.8       -11.108E-6  38.39E-6   28.51E-6  -159.96E-6  0.031268   1.8        1.8001     1.8        1.8        1.8001     1.8        1.7999     1.8        1.7999     1.7999     1.8001     1.8       
 1.7E-9     1.8       -1.3247E-6 -44.186E-6 -25.553E-6  59.308E-6 -647.57E-6  1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8001     1.7999     1.7999     1.8       
 1.8E-9     1.8       -11.667E-6  47.775E-6  22.292E-6  2.9704E-6  123.53E-6  1.8003     1.7999     1.7999     1.8        1.7999     1.8        1.8001     1.8        1.7999     1.8001     1.8001     1.8       
 1.9E-9     1.8        13.606E-6  54.611E-6  25.544E-6  8.7946E-6  129.81E-6  1.8026     1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.8        1.7999     1.8001     1.8       
 2.E-9      1.8       -2.6868E-6  57.439E-6  24.749E-6  11.174E-6  137.39E-6  1.8159     1.8        1.7997     1.7998     1.8        1.8        1.8        1.8        1.7999     1.7999     1.8001     1.8001    
 2.1E-9     1.8       -5.4592E-6  58.123E-6  25.154E-6  11.649E-6  51.719E-6  0.85006    1.7998     1.8044     1.8062     1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8       
