#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)    v(sum8)    v(sum9)    v(sum10)   v(sum11)   v(sum12)   v(sum13)   v(sum14)   v(sum15)   v(sum16)   v(sum17)   v(sum18)   v(sum19)   v(sum20)   v(sum12)   v(sum22)   v(sum23)   v(sum24)   v(sum25)   v(sum26)   v(sum27)   v(sum28)   v(sum29)   v(sum30)   v(sum31)  
 0.        -417.E-15   10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 100.E-12   1.8        29.459E-6  1.8        1.8        1.8        1.8        1.7999     1.8002     1.8001     1.8        1.8001     1.8001     1.8        1.8        1.8001     1.8        1.8        1.8        1.8        1.7999     1.8        1.8004     1.8        1.8001     1.8        1.8        1.8        1.8001     1.8001     1.8        1.8002     1.8        1.8001     1.8001    
 200.E-12   1.8        189.98E-9  1.8        1.8        1.8        1.8        1.8001     1.8        1.8001     1.8        1.8        1.8001     1.8        1.8        1.8        1.8        1.8001     1.8001     1.8        1.7999     1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8001     1.8        1.8        1.8001    
 300.E-12   1.8       -6.0941E-6  1.7997     1.8        1.8        1.8001     1.8        1.8        1.8001     1.8        1.8001     1.8001     1.8        1.8        1.8        1.8        1.8001     1.8001     1.8        1.7999     1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 400.E-12   1.8       -6.3752E-6  1.8234     1.8001     1.8        1.8        1.8001     1.8        1.8001     1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 500.E-12   1.8       -5.7837E-6  0.49376    1.7996     1.8        1.8001     1.8        1.7999     1.8001     1.8        1.8001     1.8001     1.8        1.8        1.8        1.8        1.8001     1.8001     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 600.E-12   1.8        12.617E-6  0.028864   1.804      1.8        1.8001     1.8001     1.7999     1.8001     1.8        1.8        1.8001     1.8        1.8        1.7999     1.8        1.8001     1.8001     1.8        1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 700.E-12   1.8        13.457E-6 -419.59E-6  1.4946     1.8        1.7999     1.7999     1.8        1.7999     1.8        1.7999     1.7999     1.8        1.8        1.8        1.8        1.7999     1.7999     1.8        1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 800.E-12   1.8       -19.686E-6 -13.46E-6   0.0029716  1.8        1.7999     1.7999     1.8        1.7999     1.8        1.8001     1.8        1.8        1.8        1.7999     1.8        1.8001     1.8        1.8        1.8001     1.8        1.8        1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 900.E-12   1.8        3.1829E-6  3.8129E-6  2.9165E-6  1.8        1.8001     1.8001     1.8        1.8001     1.8001     1.8        1.8        1.8        1.8        1.8        1.8        1.7999     1.8001     1.8        1.7999     1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
