#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)   
 0.        -79.E-15    10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 100.E-12   1.8        13.468E-6  1.8        1.8        1.8002     1.8        1.8001     1.8        1.8        1.8       
 200.E-12   1.8        35.071E-6  1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8       
 300.E-12   1.8        33.926E-6  1.8008     1.8        1.8        1.8        1.7999     1.8        1.7999     1.8       
 400.E-12   1.8        38.997E-6  1.6282     1.7999     1.8        1.8        1.8        1.7999     1.7999     1.8       
 500.E-12   1.8        39.669E-6  0.0015664  1.8002     1.8        1.8        1.8001     1.8        1.8        1.8       
 600.E-12   1.8       -29.469E-6  88.691E-6  1.7996     1.8        1.8001     1.8001     1.8001     1.8001     1.8       
 700.E-12   1.8        6.939E-6   13.993E-6 -0.026524   1.8        1.7999     1.7999     1.7999     1.7999     1.8       
 800.E-12   1.8        29.877E-6  9.7067E-6 -0.0093129  1.8        1.7999     1.8        1.7999     1.7999     1.8       
 900.E-12   1.8        31.606E-6  4.2447E-6 -0.0027245  1.7998     1.7999     1.7999     1.7999     1.7999     1.8       
 1.E-9      1.8       -54.585E-6 -411.88E-9  0.0020193  1.7805     1.8002     1.8001     1.8002     1.8002     1.8       
 1.1E-9     1.8        24.881E-6 -214.36E-9 -0.001498   1.1959     1.8        1.8        1.7998     1.7998     1.8       
 1.2E-9     1.8       -35.515E-6  2.7624E-6  0.0011158  0.24219    1.7999     1.8        1.8001     1.8001     1.8       
 1.3E-9     1.8        32.091E-6 -4.4258E-6 -912.64E-6 -0.050538   1.8004     1.7999     1.7999     1.7999     1.8       
 1.4E-9     1.8       -33.976E-6  6.3163E-6  740.99E-6  0.015283   1.5937     1.7999     1.8001     1.8001     1.8       
 1.5E-9     1.8        21.354E-6 -9.2409E-6 -154.76E-6  146.14E-6  0.03056    1.8005     1.7999     1.7999     1.8       
 1.6E-9     1.8       -20.133E-6  15.224E-6  72.32E-6   27.634E-6 -239.21E-6  1.8106     1.8        1.8001     1.8       
 1.7E-9     1.8        467.85E-6  19.988E-6  59.502E-6  21.521E-6 -86.802E-6  1.1987     1.7998     1.7998     1.7999    
 1.8E-9     1.8       -0.017639   23.839E-6  47.02E-6   26.237E-6 -5.1886E-6 -0.064242   1.8035     1.8022     1.8003    
 1.9E-9     1.8        0.80644    25.75E-6   38.103E-6  30.007E-6  19.523E-6 -0.01643    1.3922     1.4495     1.7833    
 2.E-9      1.8        1.6996    -23.106E-6 -23.376E-6 -36.444E-6 -30.018E-6  472.37E-6  0.0053217  0.0042773  0.60807   
 2.1E-9     1.8        1.7956    -25.676E-6 -17.365E-6  42.594E-6 -37.892E-6  28.93E-6   155.98E-6  144.8E-6   0.0028825 
 2.2E-9     1.8        1.7999    -32.791E-6 -19.81E-6  -30.687E-6 -49.504E-6 -10.154E-6  53.897E-6  36.984E-6  55.491E-6 
 2.3E-9     1.8        1.8       -37.742E-6 -17.104E-6 -26.075E-6 -44.114E-6 -48.211E-6 -2.2255E-6 -15.297E-6  13.48E-6  
 2.4E-9     1.8        1.7999     46.704E-6  19.982E-6  60.636E-6  57.343E-6  68.903E-6  27.983E-6  40.542E-6 -2.2546E-6 
 2.5E-9     1.8        1.8       -45.892E-6 -18.805E-6 -591.17E-9 -52.461E-6 -67.723E-6 -32.938E-6 -41.223E-6  1.7786E-6 
 2.6E-9     1.8        1.8        47.981E-6  18.04E-6   23.972E-6  49.791E-6  74.587E-6  39.874E-6  45.628E-6  1.1637E-6 
 2.7E-9    -374.3E-12  1.8       -49.462E-6 -17.267E-6 -26.882E-6 -47.671E-6 -78.739E-6 -44.762E-6 -48.223E-6 -1.0412E-6 
 2.8E-9    -1.7603E-9  1.7998     60.262E-6  31.368E-6  118.95E-6  112.36E-6  238.64E-6  145.94E-6  134.35E-6 -434.72E-9 
 2.9E-9    -2.3059E-9  1.7999     290.76E-6  6.6706E-6  19.767E-6  40.157E-6  76.454E-6  88.564E-6  79.596E-6 -371.41E-9 
 3.E-9     -844.7E-12  1.8       -0.0023845 -26.368E-6 -42.692E-6 -43.028E-6 -32.587E-6 -118.87E-6 -106.44E-6 -1.2409E-6 
 3.1E-9    -2.9881E-9  1.7999    -0.012828   132.2E-6   27.008E-6  38.717E-6  129.81E-6  117.7E-6   104.87E-6  1.2937E-6 
 3.2E-9    -2.4975E-9  1.8001     0.96721   -274.18E-6 -28.24E-6  -36.644E-6 -36.599E-6 -120.8E-6  -109.E-6   -1.5307E-6 
 3.3E-9    -1.6109E-9  1.7999     1.7993    -0.0048888  28.109E-6  36.336E-6  141.06E-6  125.11E-6  114.43E-6  1.4615E-6 
 3.4E-9    -1.4739E-9  1.8001     1.7999     0.042336  -29.835E-6 -34.439E-6 -159.5E-6  -130.7E-6  -120.46E-6 -1.7511E-6 
 3.5E-9    -1.3482E-9  1.7999     1.7999     1.5472    -27.833E-6 -38.899E-6 -119.94E-6 -151.05E-6 -139.89E-6 -2.3569E-6 
 3.6E-9    -1.5558E-9  1.8        1.7999     1.791      22.283E-6 -32.82E-6  -143.52E-6 -153.93E-6 -142.3E-6  -2.995E-6  
 3.7E-9    -2.7612E-9  1.8        1.8        1.7992     120.68E-6 -30.49E-6  -155.43E-6 -155.05E-6 -144.14E-6 -2.8329E-6 
 3.8E-9    -1.6946E-9  1.7999     1.8        1.8004    -0.0015403  40.814E-6  197.64E-6  190.13E-6  176.84E-6  4.2251E-6 
 3.9E-9    -1.5677E-9  1.8        1.8        1.7997    -0.0042946 -36.484E-6 -186.98E-6 -127.81E-6 -170.83E-6 -3.6528E-6 
 4.E-9     -3.189E-9   1.8        1.8        1.8001     0.38694    30.291E-6  131.71E-6  87.11E-6   117.17E-6  3.6701E-6 
 4.1E-9    -2.793E-9   1.8        1.8        1.7999     1.2008    -1.3545E-6 -143.87E-6 -100.79E-6 -128.83E-6 -3.7136E-6 
 4.2E-9    -3.04E-9    1.7999     1.8        1.8        1.7004     171.4E-6   152.65E-6  107.01E-6  131.18E-6  3.8689E-6 
 4.3E-9    -3.4841E-9  1.8        1.8        1.8        1.7934    -0.0011352 -79.486E-6 -113.54E-6 -134.79E-6 -3.7916E-6 
 4.4E-9    -4.0688E-9  1.8        1.8        1.8        1.8008    -0.0095544  73.87E-6   119.14E-6  137.85E-6  3.821E-6  
 4.5E-9    -3.5702E-9  1.8        1.8        1.8        1.7993     0.6194    -7.6865E-6 -124.27E-6 -140.44E-6 -3.7627E-6 
 4.6E-9    -3.4315E-9  1.8        1.8        1.8        1.8004     1.6365    -490.93E-6  128.67E-6  142.51E-6  3.3127E-6 
 4.7E-9    -2.5502E-9  1.7998     1.8        1.8        1.8001     1.7975    -0.001943   120.61E-6  129.18E-6 -2.7374E-6 
 4.8E-9    -4.7029E-9  1.8005     1.8        1.8        1.7999     1.7996    -0.0052759  255.87E-6  337.95E-6  130.22E-6 
 4.9E-9    -5.3553E-9  1.7132     1.8        1.8        1.8        1.7999     0.055164  -91.547E-6 -65.128E-6  73.818E-6 
 5.E-9     -3.7218E-9  0.36259    1.8        1.8        1.8        1.8        1.3346    -0.0034591 -0.0042459 -0.001483  
 5.1E-9     1.8        0.0027337  1.8        1.8        1.8        1.8001     1.799      415.77E-6  0.029962  -0.0088329 
 5.2E-9     1.8        94.07E-6   1.7999     1.8        1.8        1.8001     1.7997     1.2208     1.4699     0.27368   
