#Time       v(a0)      v(cout)    v(sum0)    v(sum1)    v(sum2)    v(sum3)    v(sum4)    v(sum5)    v(sum6)    v(sum7)   
 0.        -83.E-15    10.552E-9  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.8       
 50.E-12    0.9        50.751E-6  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999    
 100.E-12   1.8        47.604E-6  1.8        1.8        1.8        1.8        1.8        1.8        1.8        1.7999    
 150.E-12   1.8       -75.853E-6  1.7999     1.7999     1.8        1.7999     1.7999     1.8        1.8        1.8001    
 200.E-12   1.8       -56.997E-6  1.7999     1.8        1.8        1.8        1.7999     1.8        1.8        1.8001    
 250.E-12   1.8        68.403E-6  1.7996     1.8001     1.8        1.8001     1.8001     1.8        1.8001     1.7999    
 300.E-12   1.8       -56.864E-6  1.7998     1.7999     1.8        1.8        1.7999     1.8        1.8        1.8001    
 350.E-12   1.8        64.288E-6  1.8059     1.8001     1.8        1.8001     1.8001     1.8        1.8        1.8       
 400.E-12   1.8       -54.728E-6  1.8164     1.8        1.8        1.7999     1.7999     1.8        1.7999     1.8001    
 450.E-12   1.8        46.386E-6  1.2393     1.7998     1.8        1.8001     1.8001     1.8        1.8001     1.8       
 500.E-12   1.8       -46.635E-6  0.18876    1.7998     1.8        1.7999     1.7999     1.8        1.7999     1.8001    
 550.E-12   1.8        45.629E-6 -0.068363   1.8009     1.8        1.8001     1.8001     1.8        1.8001     1.8       
 600.E-12   1.8       -46.376E-6  0.03457    1.8122     1.8        1.7999     1.7999     1.8        1.7999     1.8001    
 650.E-12   1.8        46.797E-6 -0.017455   1.7431     1.8        1.8001     1.8001     1.8        1.8001     1.8       
 700.E-12   1.8        44.99E-6  -876.41E-6  0.84553    1.8        1.8001     1.8001     1.8        1.8001     1.7999    
 750.E-12   1.8        46.071E-6 -159.58E-6 -0.014175   1.8        1.8001     1.8001     1.8        1.8001     1.7999    
 800.E-12   1.8        41.786E-6 -23.106E-6 -725.7E-6   1.8        1.8001     1.8001     1.8        1.8001     1.7999    
 850.E-12   1.8       -65.874E-6 -3.4359E-6  601.47E-6  1.8        1.7999     1.7999     1.8        1.7999     1.8001    
 900.E-12   1.8        19.752E-6  13.685E-6 -335.66E-6  1.7999     1.8001     1.8001     1.8        1.8001     1.8001    
 950.E-12   1.8       -52.368E-6 -27.015E-6  258.8E-6   1.7999     1.7999     1.7999     1.8        1.7999     1.8       
 1.E-9      1.8        31.907E-6  35.576E-6 -162.4E-6   1.8003     1.8001     1.8001     1.8        1.8001     1.8       
 1.05E-9    1.8       -33.864E-6 -42.491E-6  122.25E-6  1.8056     1.7999     1.7999     1.8        1.7999     1.8       
 1.1E-9     1.8        36.47E-6   47.842E-6 -89.077E-6  1.7815     1.8001     1.8001     1.8        1.8001     1.8       
 1.15E-9    1.8        36.223E-6  49.275E-6 -32.852E-6  1.4909     1.8001     1.8001     1.8        1.8001     1.8       
 1.2E-9     1.8       -1.4114E-6  52.478E-6 -16.552E-6  0.9099     1.8001     1.8001     1.8        1.8001     1.7999    
 1.25E-9    1.8        22.481E-6  57.262E-6 -7.7858E-6  0.33692    1.8001     1.8002     1.8001     1.8001     1.7999    
 1.3E-9     1.8       -19.611E-6 -79.656E-6  5.821E-6   0.051793   1.7996     1.7998     1.7999     1.7998     1.8001    
 1.35E-9    1.8        36.829E-6  75.828E-6 -3.7128E-6  0.0031928  1.7996     1.8002     1.8001     1.8        1.8001    
 1.4E-9     1.8       -26.004E-6 -81.848E-6  2.5717E-6  145.58E-6  1.8041     1.7999     1.7999     1.8        1.8       
 1.45E-9    1.8        28.382E-6  82.96E-6   141.95E-9  4.591E-6   1.8217     1.7999     1.8001     1.8001     1.8       
 1.5E-9     1.8        43.666E-9 -85.494E-6 -1.749E-6   8.9573E-6  1.4258     1.7999     1.7999     1.7999     1.8       
 1.55E-9    1.8        33.079E-6  86.473E-6  3.198E-6   2.2491E-6  0.40734    1.7998     1.8001     1.8001     1.8001    
 1.6E-9     1.8       -28.451E-6 -87.634E-6 -3.762E-6   2.4775E-6 -0.060213   1.8002     1.7999     1.8        1.8001    
 1.65E-9    1.8        27.447E-6  88.573E-6  4.8893E-6  1.4729E-6  0.023872   1.8017     1.8001     1.8001     1.8       
 1.7E-9     1.8       -37.815E-6 -89.459E-6 -5.512E-6   1.3161E-6 -0.0094925  1.806      1.7999     1.7999     1.8       
 1.75E-9    1.8       -49.658E-6 -79.058E-6 -6.5382E-6  38.518E-9 -52.628E-6  1.8196     1.7999     1.7999     1.7999    
 1.8E-9     1.8        63.791E-6 -80.037E-6 -7.8132E-6 -613.65E-9 -35.064E-6  1.5978     1.7999     1.7999     1.8       
 1.85E-9    1.8        663.15E-6 -86.445E-6 -9.2079E-6 -922.78E-9 -42.642E-6  0.48151    1.7998     1.7997     1.7999    
 1.9E-9     1.8       -0.0036932  119.79E-6  13.759E-6  2.5245E-6  79.216E-6 -0.056766   1.7996     1.7996     1.7998    
 1.95E-9    1.8       -0.013188  -119.16E-6 -12.693E-6 -969.11E-9 -69.803E-6  0.030142   1.8032     1.8021     1.8003    
 2.E-9      1.8        0.263      122.39E-6  11.848E-6  1.3111E-6  79.175E-6 -0.015285   1.8258     1.8235     1.806     
 2.05E-9    1.8        0.92915   -112.16E-6 -11.139E-6 -1.076E-6  -79.297E-6  0.0079445  1.4557     1.5249     1.7937    
 2.1E-9     1.8        1.497     -93.657E-6 -8.9792E-6 -1.1656E-6 -74.219E-6  429.14E-6  0.26167    0.33942    1.4485    
 2.15E-9    1.8        1.7236    -110.88E-6 -8.6822E-6 -764.18E-9 -77.736E-6  146.14E-6  0.0052874  0.0039451  0.63573   
 2.2E-9     1.8        1.7841    -84.764E-6 -9.7012E-6 -882.03E-9 -83.341E-6  60.763E-6  283.41E-6  222.89E-6  0.071812  
 2.25E-9    1.8        1.7976     134.31E-6  12.895E-6  2.083E-6   125.65E-6 -24.62E-6  -87.771E-6 -57.287E-6 -0.0086905 
 2.3E-9     1.8        1.7997    -124.45E-6 -10.436E-6 -885.81E-9 -119.35E-6  29.912E-6  147.15E-6  119.19E-6  0.0015576 
 2.35E-9    1.8        1.7999     115.31E-6  9.1158E-6  1.047E-6   117.41E-6 -7.2586E-6 -71.017E-6 -50.677E-6 -277.71E-6 
 2.4E-9     1.8        1.8       -103.56E-6 -8.7703E-6 -1.1208E-6 -99.493E-6  1.646E-6   64.812E-6  39.782E-6  113.59E-6 
 2.45E-9    1.8        1.8        109.73E-6  8.3676E-6  1.1236E-6  99.421E-6  1.0429E-6 -40.655E-6 -14.786E-6 -45.404E-6 
 2.5E-9     1.8        1.8       -105.09E-6 -7.882E-6  -1.0127E-6 -96.176E-6  556.68E-9  36.546E-6  5.8678E-6  41.456E-6 
 2.55E-9    1.8        1.8        103.84E-6  7.2379E-6  1.2029E-6  97.519E-6  9.2403E-6 -22.002E-6  9.684E-6  -27.47E-6  
 2.6E-9     1.8        1.8       -106.36E-6 -6.1221E-6 -1.1707E-6 -98.287E-6 -12.903E-6  15.684E-6 -18.275E-6  32.506E-6 
 2.65E-9    0.9        1.8        92.967E-6  5.7186E-6  1.1628E-6  108.85E-6  21.571E-6 -8.0053E-6  27.06E-6  -32.232E-6 
 2.7E-9    -2.196E-9   1.8       -85.839E-6 -5.4682E-6 -1.2199E-6 -101.72E-6 -26.571E-6  1.9118E-6 -34.17E-6   35.295E-6 
 2.75E-9    414.4E-12  1.8        86.365E-6  4.7782E-6  1.3358E-6  88.637E-6  33.544E-6  4.4335E-6  41.148E-6 -36.052E-6 
 2.8E-9     241.4E-12  1.8001     62.774E-6  7.4057E-6  3.6939E-6  142.61E-6  80.731E-6  51.287E-6  106.78E-6 -84.064E-6 
 2.85E-9   -3.9014E-9  1.8        389.4E-6   2.2315E-6 -236.59E-9 -12.448E-6 -43.376E-6 -21.503E-6 -46.886E-6  8.1573E-6 
 2.9E-9    -4.4349E-9  1.8001     253.47E-6 -2.1889E-6  1.2573E-6 -100.75E-6 -88.781E-6 -50.829E-6 -103.08E-6  35.997E-6 
 2.95E-9   -3.0239E-9  1.8       -0.0025823 -12.86E-6  -1.9996E-6 -85.7E-6   -101.26E-6 -54.017E-6 -110.65E-6  49.464E-6 
